Conversion;Treatment;VisitorKnown;ViewsOnSale;ViewedBeforePageCART;HadBasketAdd;WasConvertedBefore;TimeSinceLastVisit;TimeSinceLastConversion;TimeOnProduct;TimeOnOverview;TimeOnSale;ClicksPerProduct;ChannelPaid;TimeToFirstSearch;TimeToFirstOverview;TimeToFirstProduct;TimeToFirstCART;TimeToFirstSale;TimeSinceFirstCART;NrDifferentProduct;TimeToBasketAdd;BasketQuantity;NormalizedBasketSum;TimeSinceClick;TimeSinceTabSwitch;ScreenWidth;DurationLastVisit;HourOfDay;PageIsHome;PageIsSearch;PageIsProduct;PageIsOverview;PageIsSale
0;0;0;0;0;0;0;417.332.515.234.465;387.402.608.257.218;715.005.855.436.607;6784;667.088.239.658.343;152.824.775.433.392;0;139.346.467.067.547;150;130.773.922.536.703;272.951.640.667.025;792.896.657.825.784;320.822.592.791.824;0;267.689.931.696.855;0;1;0;1;1600;760.044.443.726.684;9;0;0;0;1;0
0;0;0;0;0;0;0;417.332.515.234.465;387.402.608.257.218;715.005.855.436.607;6784;667.088.239.658.343;152.824.775.433.392;0;139.346.467.067.547;150;130.773.922.536.703;272.951.640.667.025;792.896.657.825.784;320.822.592.791.824;0;267.689.931.696.855;0;1;0;1;1600;760.044.443.726.684;9;0;0;0;1;0
0;0;0;0;0;0;0;417.332.515.234.465;387.402.608.257.218;715.005.855.436.607;6784;667.088.239.658.343;152.824.775.433.392;0;139.346.467.067.547;150;130.773.922.536.703;272.951.640.667.025;792.896.657.825.784;320.822.592.791.824;0;267.689.931.696.855;0;1;0;1;1600;760.044.443.726.684;9;0;0;0;1;0
0;0;1;0;0;0;0;14187;387.402.608.257.218;64134;83791;667.088.239.658.343;1;1;165;14;101;272.951.640.667.025;792.896.657.825.784;320.822.592.791.824;1;267.689.931.696.855;0;1;7;64;1680;204;13;0;1;0;0;0
0;0;1;0;0;0;0;417.332.515.234.465;387.402.608.257.218;715.005.855.436.607;3378;667.088.239.658.343;152.824.775.433.392;0;139.346.467.067.547;9;130.773.922.536.703;272.951.640.667.025;792.896.657.825.784;320.822.592.791.824;0;267.689.931.696.855;0;1;0;143.125.195.099.837;1680;760.044.443.726.684;21;0;0;0;1;0
0;0;1;0;0;0;0;417.332.515.234.465;387.402.608.257.218;715.005.855.436.607;3378;667.088.239.658.343;152.824.775.433.392;0;139.346.467.067.547;9;130.773.922.536.703;272.951.640.667.025;792.896.657.825.784;320.822.592.791.824;0;267.689.931.696.855;0;1;0;143.125.195.099.837;1680;760.044.443.726.684;21;0;0;0;1;0
0;0;1;0;0;0;0;417.332.515.234.465;387.402.608.257.218;715.005.855.436.607;3378;667.088.239.658.343;152.824.775.433.392;0;139.346.467.067.547;9;130.773.922.536.703;272.951.640.667.025;792.896.657.825.784;320.822.592.791.824;0;267.689.931.696.855;0;1;0;143.125.195.099.837;1680;760.044.443.726.684;21;0;0;0;1;0
0;0;1;0;0;0;0;417.332.515.234.465;387.402.608.257.218;715.005.855.436.607;3378;667.088.239.658.343;152.824.775.433.392;0;139.346.467.067.547;9;130.773.922.536.703;272.951.640.667.025;792.896.657.825.784;320.822.592.791.824;0;267.689.931.696.855;0;1;0;143.125.195.099.837;1680;760.044.443.726.684;21;0;0;0;1;0
0;0;1;0;0;0;0;417.332.515.234.465;387.402.608.257.218;715.005.855.436.607;3378;667.088.239.658.343;152.824.775.433.392;0;139.346.467.067.547;9;130.773.922.536.703;272.951.640.667.025;792.896.657.825.784;320.822.592.791.824;0;267.689.931.696.855;0;1;0;143.125.195.099.837;1680;760.044.443.726.684;21;0;0;0;1;0
0;0;1;0;0;0;0;417.332.515.234.465;387.402.608.257.218;715.005.855.436.607;3378;667.088.239.658.343;152.824.775.433.392;0;139.346.467.067.547;9;130.773.922.536.703;272.951.640.667.025;792.896.657.825.784;320.822.592.791.824;0;267.689.931.696.855;0;1;0;143.125.195.099.837;1680;760.044.443.726.684;21;0;0;0;1;0
0;0;1;0;0;0;0;5187707;387.402.608.257.218;39174;635.893.025.932.571;667.088.239.658.343;0;0;21;741.542.893.631.471;25;272.951.640.667.025;792.896.657.825.784;320.822.592.791.824;2;267.689.931.696.855;0;1;3;143.125.195.099.837;1536;111;19;0;0;1;0;0
0;0;1;0;0;0;0;5187707;387.402.608.257.218;39174;635.893.025.932.571;667.088.239.658.343;0;0;21;741.542.893.631.471;25;272.951.640.667.025;792.896.657.825.784;320.822.592.791.824;2;267.689.931.696.855;0;1;3;143.125.195.099.837;1536;111;19;0;0;1;0;0
0;0;1;0;0;0;0;5187707;387.402.608.257.218;39174;635.893.025.932.571;667.088.239.658.343;0;0;21;741.542.893.631.471;25;272.951.640.667.025;792.896.657.825.784;320.822.592.791.824;2;267.689.931.696.855;0;1;3;143.125.195.099.837;1536;111;19;0;0;1;0;0
0;0;1;0;0;0;0;5187707;387.402.608.257.218;39174;635.893.025.932.571;667.088.239.658.343;0;0;21;741.542.893.631.471;25;272.951.640.667.025;792.896.657.825.784;320.822.592.791.824;2;267.689.931.696.855;0;1;3;143.125.195.099.837;1536;111;19;0;0;1;0;0
0;0;1;0;0;0;0;5187707;387.402.608.257.218;39174;635.893.025.932.571;667.088.239.658.343;0;0;21;741.542.893.631.471;25;272.951.640.667.025;792.896.657.825.784;320.822.592.791.824;2;267.689.931.696.855;0;1;3;143.125.195.099.837;1536;111;19;0;0;1;0;0
0;0;1;0;0;0;0;5187707;387.402.608.257.218;39174;635.893.025.932.571;667.088.239.658.343;0;0;21;741.542.893.631.471;25;272.951.640.667.025;792.896.657.825.784;320.822.592.791.824;2;267.689.931.696.855;0;1;3;143.125.195.099.837;1536;111;19;0;0;1;0;0
0;0;0;0;0;0;0;417.332.515.234.465;387.402.608.257.218;33452;635.893.025.932.571;667.088.239.658.343;0.333333333333333;0;7;741.542.893.631.471;29;272.951.640.667.025;792.896.657.825.784;320.822.592.791.824;1;267.689.931.696.855;0;1;4;4;1920;760.044.443.726.684;13;0;1;0;0;0
0;0;0;0;0;0;0;417.332.515.234.465;387.402.608.257.218;33452;635.893.025.932.571;667.088.239.658.343;0.333333333333333;0;7;741.542.893.631.471;29;272.951.640.667.025;792.896.657.825.784;320.822.592.791.824;1;267.689.931.696.855;0;1;4;4;1920;760.044.443.726.684;13;0;1;0;0;0
0;0;0;0;0;0;0;417.332.515.234.465;387.402.608.257.218;33452;635.893.025.932.571;667.088.239.658.343;0.333333333333333;0;7;741.542.893.631.471;29;272.951.640.667.025;792.896.657.825.784;320.822.592.791.824;1;267.689.931.696.855;0;1;4;4;1920;760.044.443.726.684;13;0;1;0;0;0
0;0;1;0;0;0;0;417.332.515.234.465;387.402.608.257.218;11013;10000;667.088.239.658.343;2;0;53;31;42;272.951.640.667.025;792.896.657.825.784;320.822.592.791.824;1;267.689.931.696.855;0;1;0;11;1920;760.044.443.726.684;7;0;1;0;0;0
0;0;1;0;0;0;0;417.332.515.234.465;387.402.608.257.218;11013;10000;667.088.239.658.343;2;0;53;31;42;272.951.640.667.025;792.896.657.825.784;320.822.592.791.824;1;267.689.931.696.855;0;1;0;11;1920;760.044.443.726.684;7;0;1;0;0;0
