p2_uplift_seminarWI
Conversion;Treatment;VisitorKnown;ViewsOnSale;ViewedBeforePageCART;HadBasketAdd;WasConvertedBefore;TimeSinceLastVisit;TimeSinceLastConversion;TimeOnProduct;TimeOnOverview;TimeOnSale;ClicksPerProduct;ChannelPaid;TimeToFirstSearch;TimeToFirstOverview;TimeToFirstProduct;TimeToFirstCART;TimeToFirstSale;TimeSinceFirstCART;NrDifferentProduct;TimeToBasketAdd;BasketQuantity;NormalizedBasketSum;TimeSinceClick;TimeSinceTabSwitch;ScreenWidth;DurationLastVisit;HourOfDay;PageIsHome;PageIsSearch;PageIsProduct;PageIsOverview;PageIsSale
1;1;0;0;0;0;0;;;8624;247873;;2;1;;35;92;;;;1;;0;1;6;;1301;;12;0;0;0;1;0
0;1;0;0;0;0;0;;;;144658;;;0;;0;;;;;0;;0;1;72;;1366;;16;0;0;0;1;0
0;1;0;0;0;0;0;;;99416;171650;;;0;;31;74;;;;5;;0;1;59;168;1366;;13;0;0;0;1;0
0;1;0;0;0;0;0;;;;43896;;;0;;31;;;;;0;;0;1;3;24;1360;;13;0;0;0;1;0
0;1;0;4;0;0;0;;;0;;30676;0;0;;;40;;0;;1;;0;1;13;;1280;;5;0;0;0;0;1
0;1;0;2;0;1;0;;;19253;83563;26681;2;0;;30;56;;0;;1;77;1;6;1;40;1064;;7;0;0;0;1;0
0;1;0;2;0;1;0;;;19013;61847;20972;;0;;107;74;;57;;2;182;1;6;1;;1440;;14;0;0;0;1;0
0;1;0;0;0;0;0;;;5228;75586;;;0;;0;26;;;;2;;0;1;1;66;1366;;18;0;0;1;0;0
0;1;0;0;0;0;0;;;3787;7549;;1;0;967;0;978;;;;1;;0;1;4;83;1366;;22;0;0;0;1;0
0;1;0;0;0;0;0;;;;;;;0;;;;;;;0;;0;1;46;;1280;;19;0;0;0;0;0
0;1;0;5;0;0;0;;;;13577;81343;;0;;101;;;10;;0;;0;1;3;;1280;;12;0;0;0;1;0
0;1;0;0;0;0;0;;;54522;294120;;;0;;0;122;;;;3;;0;1;0;31;1366;;7;0;0;1;0;0
0;1;0;0;0;0;0;;;;5066;;;0;;4;;;;;0;;0;1;1;;1920;;19;0;0;0;1;0
0;1;0;0;0;0;0;;;;46183;;;0;;36;;;;;0;;0;1;22;;1920;;11;0;0;0;0;0
1;1;0;0;0;1;0;;;82205;180924;;;0;;9;24;;;;11;260;3;59;17;99;1920;;20;0;0;0;1;0
0;1;0;5;0;0;0;;;29640;47580;90831;;0;;100;125;;0;;2;;0;1;4;19;1093;;16;0;0;0;1;0
0;1;0;0;0;0;0;;;0;64864;;0;0;;18;89;;;;1;;0;1;2;24;1600;;14;0;0;1;0;0
1;1;0;0;0;0;0;;;11253;115119;;0;0;;0;19;;;;2;;0;1;0;4;1920;;6;0;0;1;0;0
0;1;1;0;0;0;0;;;;14949;;;0;;0;;;;;0;;0;1;7;;1600;;20;0;0;0;1;0
0;1;0;0;0;0;0;;;;164412;;;0;;26;;;;;0;;0;1;3;40;1280;;0;0;0;0;1;0
0;1;1;1;0;0;0;2582117;;;16482;0;;0;;52;;;0;;0;;0;1;10;;1600;338;6;0;0;0;1;0
0;1;0;7;0;1;0;;;987844;;450557;;0;;;397;;0;;2;529;2;109;8;733;1920;;9;0;0;0;0;1
0;1;1;0;0;0;0;2336334;;;119855;;;0;;0;;;;;0;;0;1;0;225;1600;392;16;0;0;0;1;0
0;1;1;0;0;0;0;2530385;;;0;;;0;;58;;;;;0;;0;1;8;;1600;2746;19;0;0;0;1;0
0;1;0;1;0;0;0;;;;97479;34601;;0;;0;;;49;;0;;0;1;0;;1600;;21;0;0;0;1;0
1;1;0;0;0;1;0;;;118347;37692;;;0;331;41;0;;;;6;331;1;6;2;282;1920;;19;0;0;1;0;0
0;1;0;0;0;0;0;;;79806;55913;;;0;;7;53;;;;3;;0;1;1;8;1600;;16;0;0;0;1;0
0;1;0;0;0;0;0;;;;36606;;;0;;0;;;;;0;;0;1;0;;1280;;18;0;0;0;1;0
0;1;0;9;0;0;0;;;12350;300599;315245;0;0;;54;469;;0;;1;;0;1;2;;1366;;7;0;0;0;0;1
0;1;0;0;0;0;0;;;;62799;;;0;;0;;;;;0;;0;1;27;;1600;;9;0;0;0;1;0
0;1;0;0;0;0;0;;;56722;143750;;;0;;10;76;;;;2;;0;1;1;;1366;;15;0;0;1;0;0
0;1;0;0;0;0;0;;;37117;109088;;1;0;;0;107;;;;2;;0;1;10;;1920;;8;0;0;0;1;0
0;1;0;3;0;0;0;;;0;;28807;0;0;;;39;;6;;1;;0;1;4;;1280;;6;0;0;0;0;1
0;1;0;6;0;0;0;;;24617;5849;104366;;0;;0;24;;7;;6;;0;1;1;26;1280;;9;0;0;0;0;1
0;1;0;0;0;0;0;;;;143206;;;0;;0;;;;;0;;0;1;1;10;1280;;11;0;0;0;1;0
0;1;0;0;0;1;0;;;38964;119914;;2;0;;0;127;;;;1;167;1;4;4;39;1920;;14;0;0;0;1;0
1;1;0;0;0;0;0;;;108161;433458;;;0;;0;32;;;;4;;0;1;28;;1280;;19;0;0;0;1;0
0;1;0;0;0;0;0;;;;126427;;;0;;0;;;;;0;;0;1;1;60;1280;;12;0;0;0;1;0
1;1;1;0;0;0;0;;;;108797;;;0;115;0;;;;;0;;0;1;3;34;1366;;7;0;1;0;0;0
0;1;0;0;0;0;0;;;0;108826;;0;0;;4;101;;;;1;;0;1;14;;1829;;9;0;0;0;1;0
0;1;0;2;0;0;0;;;;106200;63483;;0;;0;;;1095;;0;;0;1;3;902;1280;;14;0;0;0;0;1
0;1;0;0;0;0;0;;;32900;56881;;2;0;;10;159;;;;1;;0;1;4;;1600;;19;0;0;0;1;0
0;1;0;0;0;0;0;;;40120;63432;;2;0;109;0;32;;;;1;;0;1;4;;1280;;7;0;0;0;1;0
0;1;0;0;0;0;0;;;;26244;;;0;;16;;;;;0;;0;1;0;8;1366;;18;0;0;0;1;0
0;1;0;0;0;0;0;;;9925;61132;;0;0;;0;38;;;;2;;0;1;2;7;1152;;20;0;0;1;0;0
1;1;0;0;0;0;0;;;8666;22226;;1;0;23;0;39;;;;1;;0;1;6;7;1536;;13;0;1;0;0;0
1;1;0;1;0;1;0;;;;147445;0;;0;;23;;;415;;0;186;1;119;8;379;1600;;16;0;0;0;0;1
0;1;0;0;0;0;0;;;8186;56219;;;0;;0;22;;;;3;;0;1;1;;1024;;10;0;0;1;0;0
0;1;1;0;0;0;0;2320747;;20680;83222;;;0;;0;32;;;;3;;0;1;16;103;1366;191;18;0;0;0;1;0
0;1;0;0;0;0;0;;;16560;130144;;0;0;;0;19;;;;2;;0;1;2;65;1680;;21;0;0;0;1;0
0;1;0;9;0;0;0;;;;;57869;;0;;;;;0;;0;;0;1;3;;1366;;12;0;0;0;0;1
0;1;0;0;0;0;0;;;0;52614;;0;0;;0;34;;;;2;;0;1;2;;1280;;22;0;0;0;1;0
1;1;0;0;0;0;0;;;0;162053;;0;0;;59;229;;;;1;;0;1;1;71;1360;;15;0;0;1;0;0
0;1;0;2;0;0;0;;;;44063;28733;;0;;59;;;25;;0;;0;1;2;;3440;;14;0;0;0;1;0
0;1;0;0;0;0;0;;;;428445;;;0;;0;;;;;0;;0;1;3;41;1280;;14;0;0;0;1;0
1;1;0;0;0;0;0;;;;26441;;;0;45;9;;;;;0;;0;1;2;;1280;;16;0;1;0;0;0
0;1;0;0;0;0;0;;;;46199;;;0;;26;;;;;0;;0;1;1;6;1600;;11;0;0;0;1;0
0;1;1;4;0;0;0;41897;;17059;;118778;1;0;;;123;;0;;1;;0;1;14;;1366;581;10;0;0;0;0;1
0;1;0;1;0;0;0;;;;29935;21226;;0;;104;;;0;;0;;0;1;1;4;1920;;7;0;0;0;1;0
